地名,センター,燃やせるごみ,枝・葉・草,燃やせないごみ,容器プラ,雑がみ,びん・缶・ペット
東区 北34条～51条の東1丁目～15丁目,札幌センター1,月 木,20140520 20140617 20140715 20140812 20140909,20140211 20140311 20140408 20140506 20140603 20140701 20140729 20140826 20140923,水,20140204 20140218 20140304 20140318 20140401 20140415 20140429 20140513 20140527 20140610 20140624 20140708 20140722 20140805 20140819 20140902 20140916 20140930,金
東区 北34条～49条の東16丁目～30丁目,札幌センター1,月 木,20140521 20140618 20140716 20140813 20140910,20140212 20140312 20140409 20140507 20140604 20140702 20140730 20140827 20140924,金,20140205 20140219 20140305 20140319 20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917,火
東区 伏古11条～14条の1丁目～5丁目,札幌センター1,月 木,20140521 20140618 20140716 20140813 20140910,20140212 20140312 20140409 20140507 20140604 20140702 20140730 20140827 20140924,金,20140205 20140219 20140305 20140319 20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917,火
東区 丘珠町○番地,札幌センター1,月 木,20140521 20140618 20140716 20140813 20140910,20140212 20140312 20140409 20140507 20140604 20140702 20140730 20140827 20140924,金,20140205 20140219 20140305 20140319 20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917,火
東区 栄町○番地,札幌センター1,月 木,20140521 20140618 20140716 20140813 20140910,20140212 20140312 20140409 20140507 20140604 20140702 20140730 20140827 20140924,金,20140205 20140219 20140305 20140319 20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917,火
東区 北丘珠○条○丁目,札幌センター1,月 木,20140521 20140618 20140716 20140813 20140910,20140212 20140312 20140409 20140507 20140604 20140702 20140730 20140827 20140924,金,20140205 20140219 20140305 20140319 20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917,火
東区 伏古1条～10条の1丁目～5丁目,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 東苗穂○条○丁目,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 東苗穂町○番地,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 東雁来○条○丁目,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 東雁来町○番地,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 中沼○条○丁目,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 中沼町○番地,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 中沼西○条○丁目,札幌センター1,月 木,20140523 20140620 20140718 20140815 20140912,20140214 20140314 20140411 20140509 20140606 20140704 20140801 20140829 20140926,火,20140207 20140221 20140307 20140321 20140404 20140418 20140502 20140516 20140530 20140613 20140627 20140711 20140725 20140808 20140822 20140905 20140919,水
東区 北5条～33条の東1丁目～7丁目,札幌センター1,火 金,20140519 20140616 20140714 20140811 20140908,20140210 20140310 20140407 20140505 20140602 20140630 20140728 20140825 20140922,水,20140203 20140217 20140303 20140317 20140331 20140414 20140428 20140512 20140526 20140609 20140623 20140707 20140721 20140804 20140818 20140901 20140915 20140929,木
東区 北15条～33条の東8丁目～15丁目,札幌センター1,火 金,20140521 20140618 20140716 20140813 20140910,20140212 20140312 20140409 20140507 20140604 20140702 20140730 20140827 20140924,木,20140205 20140219 20140305 20140319 20140402 20140416 20140430 20140514 20140528 20140611 20140625 20140709 20140723 20140806 20140820 20140903 20140917,月
東区 北4条～14条の東8丁目～20丁目,札幌センター1,火 金,20140522 20140619 20140717 20140814 20140911,20140213 20140313 20140410 20140508 20140605 20140703 20140731 20140828 20140925,月,20140206 20140220 20140306 20140320 20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918,水
東区 北15条～33条の東16丁目～23丁目,札幌センター1,火 金,20140522 20140619 20140717 20140814 20140911,20140213 20140313 20140410 20140508 20140605 20140703 20140731 20140828 20140925,月,20140206 20140220 20140306 20140320 20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918,水
東区 苗穂町○丁目,札幌センター1,火 金,20140522 20140619 20140717 20140814 20140911,20140213 20140313 20140410 20140508 20140605 20140703 20140731 20140828 20140925,月,20140206 20140220 20140306 20140320 20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918,水
東区 本町○条○丁目,札幌センター1,火 金,20140522 20140619 20140717 20140814 20140911,20140213 20140313 20140410 20140508 20140605 20140703 20140731 20140828 20140925,月,20140206 20140220 20140306 20140320 20140403 20140417 20140501 20140515 20140529 20140612 20140626 20140710 20140724 20140807 20140821 20140904 20140918,水
白石区 中央○条○丁目,札幌センター1,火 金,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,月,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
白石区 本通1丁目～14丁目（南北）,札幌センター1,火 金,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,月,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
白石区 平和通1丁目～14丁目（南北）,札幌センター1,火 金,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,月,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
白石区 本郷通1丁目～13丁目（南北）,札幌センター1,火 金,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,月,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
白石区 南郷通1丁目～14丁目（南北）,札幌センター1,火 金,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,月,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
白石区 栄通1丁目～14丁目,札幌センター1,火 金,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,月,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,木
白石区 北郷○条○丁目、○番地,札幌センター1,火 金,20140512 20140609 20140707 20140804 20140901 20140929,20140303 20140331 20140428 20140526 20140623 20140721 20140818 20140915,木,20140310 20140324 20140407 20140421 20140512 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
白石区 川北○条○丁目、○番地,札幌センター1,火 金,20140512 20140609 20140707 20140804 20140901 20140929,20140303 20140331 20140428 20140526 20140623 20140721 20140818 20140915,木,20140310 20140324 20140407 20140421 20140512 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
白石区 川下○条○丁目、○番地,札幌センター1,火 金,20140512 20140609 20140707 20140804 20140901 20140929,20140303 20140331 20140428 20140526 20140623 20140721 20140818 20140915,木,20140310 20140324 20140407 20140421 20140512 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
白石区 菊水元町○条○丁目,札幌センター1,火 金,20140512 20140609 20140707 20140804 20140901 20140929,20140303 20140331 20140428 20140526 20140623 20140721 20140818 20140915,木,20140310 20140324 20140407 20140421 20140512 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
白石区 東米里○番地,札幌センター1,火 金,20140512 20140609 20140707 20140804 20140901 20140929,20140303 20140331 20140428 20140526 20140623 20140721 20140818 20140915,木,20140310 20140324 20140407 20140421 20140512 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
白石区 米里○条○丁目,札幌センター1,火 金,20140512 20140609 20140707 20140804 20140901 20140929,20140303 20140331 20140428 20140526 20140623 20140721 20140818 20140915,木,20140310 20140324 20140407 20140421 20140512 20140519 20140602 20140616 20140630 20140714 20140728 20140811 20140825 20140908 20140922,水
白石区 東札幌○条○丁目,札幌センター1,火 金,20140515 20140612 20140710 20140807 20140904,20140306 20140403 20140501 20140529 20140626 20140724 20140821 20140918 ,水,20140313 20140327 20140410 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
白石区 菊水○条○丁目,札幌センター1,火 金,20140515 20140612 20140710 20140807 20140904,20140306 20140403 20140501 20140529 20140626 20140724 20140821 20140918 ,水,20140313 20140327 20140410 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
白石区 菊水上町○条○丁目,札幌センター1,火 金,20140515 20140612 20140710 20140807 20140904,20140306 20140403 20140501 20140529 20140626 20140724 20140821 20140918 ,水,20140313 20140327 20140410 20140410 20140424 20140508 20140522 20140605 20140619 20140703 20140717 20140731 20140814 20140828 20140911 20140925,月
白石区 本通15丁目～21丁目（南北）,札幌センター1,月 木,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,金,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
白石区 平和通15丁目～17丁目（南北）,札幌センター1,月 木,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,金,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
白石区 南郷通15丁目～21丁目（南北）,札幌センター1,月 木,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,金,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
白石区 栄通15丁目～21丁目,札幌センター1,月 木,20140514 20140611 20140709 20140806 20140903,20140305 20140402 20140430 20140528 20140625 20140723 20140820 20140917,金,20140312 20140326 20140409 20140423 20140507 20140521 20140604 20140618 20140702 20140716 20140730 20140813 20140827 20140910 20140924,火
